N_Circuito;Data_Rate;Data_Inst;Data_Activ;Estado_Cct;Entidade_PTR1;Morada_PTR1;Cod_Post_PTR1;Interface_PTR1;Equip_PTR1;Slot_PTR1;Trib_PTR1;Entidade_PTR2;Morada_PTR2;Cod_Post_PTR2;Interface_PTR2;Equip_PTR2;Slot_PTR2;Trib_PTR2;User_Cct;Propriedade_Cct;Outras_Ref
RFT001663;2 Mbps;2011-03-30;2011-10-04;Desligado;Radiomóvel;Sintra Business Park;;G.703;;10;1.3.2;RT;Loulé;;G.703;LOULE_650_1;8;1.2.1;Radiomóvel;Refertelecom;
RFT001664;2 Mbps;2011-03-30;2011-10-04;Desligado;Radiomóvel;Sintra Business Park;;G.703;;10;1.4.2;RT;Loulé;;G.703;LOULE_650_1;8;1.6.1;Radiomóvel;ReferTelecom;
RFT001665;2 Mbps;2011-03-30;2011-10-04;Desligado;Radiomóvel;Sintra Business Park;;G.703;;10;1.5.2;RT;Loulé;;G.703;LOULE_650_1;8;3.1.3;Radiomóvel;ReferTelecom;
RFT001666;2 Mbps;2011-03-30;2011-10-04;Desligado;Radiomóvel;Sintra Business Park;;G.703;;10;1.5.3;RT;Loulé;;G.703;LOULE_650_1;8;3.7.3;Radiomóvel;ReferTelecom;
RFT001667;2 Mbps;2011-05-19;2013-09-18;Desligado;Vodafone;Matinha;;G.703;;;1.6.3;ReferTelecom;Stª Apolónia;;G.703;650_1;1;2;Vodafone;ReferTelecom;Nunca entrou ao serviço.
RFT001668;2 Mbps;2011-05-19;2013-09-18;Desligado;Vodafone;Matinha;;G.703;;;1.7.1;ReferTelecom;Stª Apolónia;;G.703;650_1;1;3;Vodafone;ReferTelecom;Nunca chegou a entrar ao serviço.
RFT001669;2 Mbps;2011-05-19;0000-00-00;Desligado;Vodafone;Matinha;;G.703;;;1.7.2;ReferTelecom;Entroncamento;;G.703;660_1;1;13;Vodafone;ReferTelecom;Nunca entrou ao serviço.
RFT001670;2 Mbps;2011-05-19;2013-09-18;Desligado;Vodafone;Matinha;;G.703;;;1.7.3;ReferTelecom;Entroncamento;;G.703;660_1;1;18;Vodafone;ReferTelecom;Nunca entrou ao serviço.
RFT001671;2 Mbps;2011-05-19;0000-00-00;Desligado;Vodafone;Matinha;;G.703;;;2.1.1;ReferTelecom;Entroncamento;;G.703;;;;Vodafone;ReferTelecom;
1001443173;10 Mbps;2011-05-05;2011-07-01;Activo;RT_Braga;Estação Ferroviária de Braga, Largo da Estação;4700-223 Braga;Ether;;;;Onsalesit, Unipessoal, Lda;Rua do Cais, Nº 198, Fontarcada - Póvoa do Lanhoso ;4830-345 Póvoa do Lanhoso;Ether;;;;Claranet;PT;Entregue pela PT em 01-07-2011, Circuito para a Claranet entre Braga - Telvent, via Rede de Dados
1001448413;2 Mbps;2011-07-14;2016-11-16;Desligado;RT-Entº;Estação de Caminhos de Ferro do Entroncamento, Praça 5 de Outubro;2330-137 Entroncamento;G.703;;;;Lar dos Ferroviários do Entron;Rua dos Ferroviários - Casal Saldanha;2330-144 Entroncamento;G.703;;;;Rede de Voz;PT;Pedido à PT em 14-07-2011
RFT001672;100 Mbps;2011-07-15;2022-12-12;Desligado;ReferTelecom;G. Oriente NOC;;Ether;ORINOC_660_1;30;7;ReferTelecom;Entroncamento;;Ether;ENTCRM_660_1;39;1;Rede de Dados;ReferTelecom;Desconfigurado em 12-12-2022. João Alves.
RFT001673;2 Mbps;2011-03-25;2011-08-17;Activo;IP;SE Abrantes;;G.703;SEABRT_642_1;4;1;IP;Abrantes;;G.703;ABRANT_662_1;2;11;IP-DAT-R.Acesso;IP;
RFT001674;2 Mbps;2011-03-25;2011-08-17;Activo;IP;Mouriscas;;G.703;MORISC_642_1;4;1;IP;Abrantes;;G.703;ABRANT_662_1;2;13;IP-DAT-R.Acesso;IP;
RFT001675;2 Mbps;2011-03-25;2014-02-21;Desligado;ReferTelecom;Mouriscas;;G.703;MORISC_642_1;4;2;ReferTelecom;Abrantes;;G.703;ABRANT_662_1;2;14;R. Acesso;ReferTelecom;Desativado por não ser necessário.
RFT001676;2 Mbps;2011-03-25;2011-08-17;Activo;IP;Mouriscas;;G.703;MORISC_642_1;4;3;IP;Alferrarede;;G.703;ALFRRD_642_1;4;2;IP-DAT-R.Acesso;IP;
RFT001677;2 Mbps;2011-03-25;2011-08-17;Activo;IP;Mouriscas A;;G.703;MORISC-A_642_1;4;1;IP;Mouriscas;;G.703;MORISC_642_1;4;4;IP-DAT-R.Acesso;IP;
RFT001678;2 Mbps;2011-03-25;2021-10-26;Desligado;IP;Fratel;;G.703;FRATEL_650_1;1;2;IP;Rodão;;G.703;RODAO_642_1;4;2;IP-DAT-R.Acesso;IP;Desligado em 26-10-2021. 
RFT001679;2 Mbps;2011-03-25;2011-08-17;Activo;IP;Mouriscas A;;G.703;MORISC-A_642_1;4;2;IP;Fratel;;G.703;FRATEL_650_1;1;1;IP-DAT-R.Acesso;IP;
RFT001680;60 Mbps Et;2011-08-01;2022-01-12;Desligado;ReferTelecom;G. Oriente NOC;;Ether;ORINOC_660_1;31;1;ReferTelecom;Évora;;Ether;EVORA_660_1;39;1;Rede de Dados;ReferTelecom;"Circuito para a ARtelecom:
ARtelecom(Alc.Mar)-Oriente: Rede de Dados: RFDCARRIER000262
Oriente-Évora: Rede de TX
Évora-Inst. Cliente: ORCE-PT pedido pela ARtelecom
Baldeado para a Rede de Dados em 12-01-2022."
RFT001681;2 Mbps;2011-08-22;2011-08-26;Activo;ReferTelecom;Campolide Estação;;G.703;CMPEST_660_1;2;12;ReferTelecom;Alcântara Terra;;G.703;ALCTRR_642_1;3;1;Rede de Voz;ReferTelecom;
RFT001682;2 Mbps;2010-03-02;0000-00-00;Activo;IP;Praia do Ribatejo;;G.703;PRIBAT_642_1;3;2;IP;Santa Margarida;;G.703;SMARGA_642_1;3;1;IP-DAT-R.Acesso;IP;Beira Baixa
RFT001683;2 Mbps;2010-03-02;0000-00-00;Activo;IP;Santa Margarida;;G.703;SMARGA_642_1;3;2;IP;Tramagal;;G.703;TRAMAG_642_1;3;1;IP-DAT-R.Acesso;IP;Beira Baixa
RFT001684;2 Mbps;2010-03-02;0000-00-00;Activo;IP;Tramagal;;G.703;TRAMAG_642_1;3;2;IP;Abrantes;;G.703;ABRANT_662_1;2;1;IP-DAT-R.Acesso;IP;Beira Baixa
RFT001685;2 Mbps;2010-03-02;0000-00-00;Activo;IP;Almourol;;G.703;ALMOUR_642_1;3;2;IP;Praia do Ribatejo;;G.703;PRIBAT_642_1;3;1;IP-DAT-R.Acesso;IP;Beira Baixa
RFT001686;2 Mbps;2011-04-01;2011-04-01;Activo;IP;Canas;;G.703;CANAS_642_1;4;1;IP;Nelas;;G.703;NELAS_642_1;4;1;IP-DAT-R.Acesso;IP;"Canas - Mux1.
Nelas - CCMIC1-F3."
RFT001687;2 Mbps;2011-04-01;2011-04-01;Activo;IP;Nelas;;G.703;NELAS_642_1;4;2;IP;Mangualde;;G.703;MANGUA_642_1;4;3;IP-DAT-R.Acesso;IP;"Nelas - CCMIC1-F1.
Mangualde - CCMIC1-F4."
RFT001688;2 Mbps;2011-04-01;2011-04-01;Activo;IP;Mangualde;;G.703;MANGUA_642_1;4;4;IP;Contenças;;G.703;CONTEN_642_1;4;1;IP-DAT-R.Acesso;IP;"Mangualde - CCMIC1-F5.
Contenças - Mux1."
RFT001689;2 Mbps;2011-04-01;0000-00-00;Activo;IP;Mangualde;;G.703;MANGUA_642_1;4;5;IP;SE Gouveia;;G.703;SEGOUV_642_1;4;1;IP-DAT-R.Acesso;IP;
RFT001690;2 Mbps;2011-04-01;2011-09-15;Activo;IP;Mangualde;;G.703;MANGUA_642_1;4;6;IP;SE Gouveia;;G.703;SEGOUV_642_1;4;2;IP-DAT-R.Acesso;IP;
RFT001691;2 Mbps;2011-04-01;2011-09-15;Activo;IP;SE Gouveia;;G.703;SEGOUV_642_1;4;3;IP;Gouveia;;G.703;GOUVEI_642_1;4;7;IP-DAT-R.Acesso;IP;
RFT001692;2 Mbps;2011-04-01;2011-09-15;Activo;IP;SE Gouveia;;G.703;SEGOUV_642_1;4;4;IP;Celourico;;G.703;MUXAGATA_642_1;4;1;IP-DAT-R.Acesso;IP;
RFT001693;2 Mbps;2011-04-01;2011-09-15;Activo;IP;SE Gouveia;;G.703;SEGOUV_642_1;4;5;IP;SE Sobral;;G.703;SESOBR_642_1;4;1;IP-DAT-R.Acesso;IP;
RFT001694;2 Mbps;2011-04-01;2011-09-15;Activo;IP;Gouveia;;G.703;GOUVEI_642_1;4;8;IP;Fornos Algodres;;G.703;FORNOS_642_1;4;8;IP-DAT-R.Acesso;IP;
RFT001695;2 Mbps;2011-04-01;2025-01-13;Desligado;IP;Muxagata;;G.703;MUXAGA_642_1;4;1;IP;Celourico;;G.703;CELOUR_650_1;1;2;IP-DAT-R.Acesso;IP;Desligado devido a alterações da Rede de Acesso.
RFT001696;2 Mbps;2011-04-01;2011-09-15;Activo;IP;Celourico;;G.703;SESOBR_650_1;4;2;IP;Vila Franca Naves;;G.703;VFNAVE_642_1;4;1;IP-DAT-R.Acesso;IP;Alterada a terminação de Celorico para SE Sobral em 13-01-2025.
RFT001697;2 Mbps;2011-04-01;2025-01-13;Desligado;IP;Celourico;;G.703;CELOUR_650_1;1;4;IP;SE Sobral;;G.703;SESOBR_642_1;4;2;IP-DAT-R.Acesso;IP;Desativado devido a alterações da Rede de Acesso. 
RFT001698;2 Mbps;2011-04-01;2025-02-03;Activo;IP;Celourico;;G.703;CELOUR_650_1;1;1;IP;Guarda;;G.703;GUARDA_650_2;1;1;IP-DAT-R.Acesso;IP;
RFT001699;2 Mbps;2011-04-01;2011-09-15;Activo;IP;Pinhel;;G.703;PINHEL_642_1;4;1;IP;SE Sobral;;G.703;SESOBR_642_1;4;3;IP-DAT-R.Acesso;IP;
RFT001700;2 Mbps;2011-04-01;2011-09-15;Activo;IP;SE Sobral;;G.703;SESOBR_642_1;4;6;IP;Guarda;;G.703;GUARDA_650_2;1;9;IP-DAT-R.Acesso;IP;
RFT001701;2 Mbps;2011-04-01;2011-09-15;Activo;IP;SE Sobral;;G.703;SESOBR_642_1;4;5;IP;Guarda;;G.703;GUARDA_650_2;1;3;IP-DAT-R.Acesso;IP;
RFT001702;2 Mbps;2011-04-01;2011-09-15;Activo;IP;Guarda;;G.703;GUARDA_650_2;1;4;IP;Cerdeira;;G.703;CERDEI_642_1;4;1;IP-DAT-R.Acesso;IP;
RFT001703;2 Mbps;2011-04-01;2011-09-15;Activo;IP;Guarda;;G.703;GUARDA_650_2;1;5;IP;Vilar Formoso;;G.703;VFORMO_642_1;4;1;IP-DAT-R.Acesso;IP;
RFT001704;2 Mbps;2011-04-01;2011-09-15;Activo;IP;Guarda;;G.703;GUARDA_650_2;1;6;IP;Vilar Formoso;;G.703;VFORMO_642_1;4;2;IP-DAT-R.Acesso;IP;
RFT001705;2 Mbps;2011-04-01;2011-09-15;Activo;IP;Noémi;;G.703;NOEMI_642_1;4;1;IP;Vilar Formoso;;G.703;VFORMO_642_1;4;3;IP-DAT-R.Acesso;IP;
RFT001706;40 Mbps;2011-09-28;2022-12-12;Desligado;ReferTelecom;G. Oriente NOC;;Ether;ORINOC_660_1;31;2;ReferTelecom;Entroncamento;;Ether;ENTCRM_660_1;39;2;Rede de Dados;ReferTelecom;Desconfigurado em 12-12-2022. João Alves.
RFT001707;2 Mbps;2011-09-28;2022-03-22;Desligado;ReferTelecom;G. Oriente NOC;;G.703;ORINOC_660_1;1;17;ReferTelecom;V. Novas;;G.703;VNOVAS_660_1;1;2;Rede de Dados;ReferTelecom;Desativado - João Alves
RFT001708;2 Mbps;2011-09-29;2022-12-05;Desligado;ReferTelecom;Guarda;;G.703;GUARDA_650_1;1;10;ReferTelecom;Vilar Formoso;;G.703;VFORMO_642_1;4;4;Rede de Dados;Refertelecom;Desconfigurado em 05-12-2022. João Alves.
RFT001709;2 Mbps;2011-09-29;2018-12-12;Desligado;Ar Telecom;Alcantara Mar;;G.703;;;1.1.1;Vodafone;Matinha;;G.703;;;2.1.2;Ar Telecom;ReferTelecom;
RFT001710;2 Mbps;2011-09-29;2018-12-12;Desligado;Ar Telecom;Alcantara Mar;;G.703;;;1.5.3;Vodafone;Matinha;;G.703;;;2.1.3;Ar Telecom;ReferTelecom;
RFT001712;76 Mbps;2011-10-03;2014-08-01;Desligado;ReferTelecom;Leiria;;G.703;LEIRIA_660_1;39;3;ReferTelecom;Caldas;;G.703;CALDAS_660_1;39;1;NFSi;ReferTelecom;
RFT001713;1 GbEth;2011-09-15;2013-10-16;Desligado;ReferTelecom;DC Contumil;;G.703;CCOPRT_830_1;;1;ReferTelecom;DC Viseu;;G.703;VISEU_830_1;;1;Choicenumbers;ReferTelecom;
RFT001714;2 Mbps;2000-11-01;0000-00-00;Activo;Refertelecom;Oriente;;G.703;660_1;13;14;Refertelecom;Sta. Apolónia;;G.703;650_1;2;1;Rede de Voz;Refertelecom;Antigo Circuito TLC.
RFT001715;2 Mbps;2011-11-01;2015-02-12;Desligado;ReferTelecom;Simef - Stª Apolónia;;G.703;HDSL;;;Vodafone;Matinha;;G.703;;;2.2.1;Vodafone;ReferTelecom;Em Stª Apolónia dai do trib 2 slot 2 do 1650
RFT001716;2 Mbps;0000-00-00;2011-12-14;Activo;IP;Pombal;;G.703;POMBAL_660_1;1;2;IP;Alfarelos;;G.703;ALFARE_650_1;1;1;IP-DAT-R.Acesso;IP;Rede de Acesso 1511BA
RFT001717;2 Mbps;0000-00-00;2011-12-14;Activo;IP;Alfarelos;;G.703;ALFARE_650_1;1;2;IP;SE Alfarelos;;G.703;SEALFA_642_1;4;1;IP-DAT-R.Acesso;IP;Rede de Acesso 1511BA.
RFT001718;2 Mbps;0000-00-00;2011-12-14;Activo;IP;SE Alfarelos;;G.703;SEALFA_642_1;4;2;IP;ET Amial;;G.703;ETAMIA_642_1;4;1;IP-DAT-R.Acesso;IP;Rede de Acesso 1511BA.
RFT001719;2 Mbps;0000-00-00;2011-12-14;Activo;IP;ET Amial;;G.703;ETAMIA_642_1;4;2;IP;Amial;;G.703;AMIAL_642_1;4;1;IP-DAT-R.Acesso;IP;Rede de Acesso 1511BA.
RFT001720;2 Mbps;0000-00-00;2011-12-14;Activo;IP;Amial;;G.703;AMIAL_642_1;4;2;IP;Taveiro;;G.703;TAVEIR_642_1;4;1;IP-DAT-R.Acesso;IP;Rede de Acesso 1511BA.
RFT001721;2 Mbps;0000-00-00;2011-12-14;Activo;IP;Taveiro;;G.703;TAVEIR_642_1;4;2;IP;Bencanta;;G.703;BENCAT_642_1;4;1;IP-DAT-R.Acesso;IP;Rede de Acesso 1511BA.
RFT001722;2 Mbps;0000-00-00;2011-12-14;Activo;IP;Bencanta;;G.703;BENCAT_642_1;4;2;IP;Coimbra B;;G.703;COIMBB_660_1;1;16;IP-DAT-R.Acesso;IP;Rede de Acesso 1511BA.
RFT001723;2 Mbps;0000-00-00;2011-12-14;Activo;IP;Coimbra B;;G.703;COIMBB_660_1;1;17;IP;Adémia;;G.703;ADEMIA_642_1;4;1;IP-DAT-R.Acesso;IP;Rede de Acesso 1511BA.
RFT001724;2 Mbps;0000-00-00;2011-12-14;Activo;IP;Adémia;;G.703;ADEMIA_642_1;4;2;IP;Souselas;;G.703;SOUSEL_642_1;4;1;IP-DAT-R.Acesso;IP;Rede de Acesso 1511BA.
RFT001725;2 Mbps;0000-00-00;2011-12-14;Activo;IP;Souselas;;G.703;SOUSEL_642_1;4;2;IP;Pampilhosa;;G.703;PAMPLH_642_1;1;17;IP-DAT-R.Acesso;IP;Rede de Acesso 1511BA.
RFT001726;2 Mbps;0000-00-00;2011-12-14;Activo;IP;Oriente L7;;G.703;650_1;2;15;IP;Pampilhosa;;G.703;PAMPLH_660_1;1;18;IP-DAT-R.Acesso;IP;Rede de Acesso 1511BA - Protecção do Anel 1.
RFT001727;2 Mbps;0000-00-00;2011-12-14;Activo;IP;Pombal;;G.703;POMBAL_660_1;1;3;IP;Coimbra B;;G.703;COIMBB_660_1;1;18;IP-DAT-R.Acesso;IP;Rede de Acesso 1511BA - Protecção do Anel 2.
RFT001728;2 Mbps;2012-01-04;0000-00-00;Activo;IP;Pampilhosa;;G.703;PAMPLH_660_1;2;12;IP;Fig. Foz;;G.703;FIGFOZ_660_1;1;1;IP-DAT-R.Acesso;IP;"Circuito para Mux 1514 da Linha de Alfarelos.
Pampilhosa baldeado do Tributário b02p05 para b02p12 no dia 24-03-2022."
RFT001761;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;3.3.2;RT;Campanha;;G.703;PRCAMP_660_2;27p1;2.1.2;Ar Telecom;ReferTelecom;
RFT001730;2 Mbps;2012-01-05;2012-01-17;Activo;IP;Pampilhosa;;G.703;PAMPLH_660_2;1;9;IP;Mealhada;;G.703;MEALHA_642_1;4;1;IP-DAT-R.Acesso;IP;
RFT001731;2 Mbps;2012-01-05;2012-01-17;Activo;IP;Mealhada;;G.703;MEALHA_642_1;4;2;IP;Estação Técnica Mealhada;;G.703;ETMELH_642_1;4;1;IP-DAT-R.Acesso;IP;
RFT001732;2 Mbps;2012-01-05;2012-01-17;Activo;IP;Estação Técnica Mealhada;;G.703;ETMELH_642_1;4;2;IP;Curia;;G.703;CURIA_642_1;4;1;IP-DAT-R.Acesso;IP;
RFT001733;2 Mbps;2012-01-05;2012-01-17;Activo;IP;Curia;;G.703;CURIA_642_1;4;2;IP;Mogofores;;G.703;MOGOFO_642_1;4;1;IP-DAT-R.Acesso;IP;Muxflex
RFT001734;2 Mbps;2012-01-05;2012-01-17;Activo;IP;Mogofores;;G.703;MOGOFO_642_1;4;2;IP;Oliveira do Bairro;;G.703;OLIBAI_642_1;4;1;IP-DAT-R.Acesso;IP;Muxflex
RFT001735;2 Mbps;2012-01-05;2012-01-17;Activo;IP;Oliveira do Bairro;;G.703;OLIBAI_642_1;4;2;IP;Oiã;;G.703;OIA_642_1;4;1;IP-DAT-R.Acesso;IP;
RFT001736;2 Mbps;2012-01-05;2012-01-17;Activo;IP;Oiã;;G.703;OIA_642_1;4;2;IP;Quintans;;G.703;QUITAN_642_1;4;1;IP-DAT-R.Acesso;IP;Muxflex
RFT001737;2 Mbps;2012-01-05;2012-01-17;Activo;IP;Quintans;;G.703;QUITAN_642_1;4;2;IP;Aveiro;;G.703;AVEIRO_660_1;1;14;IP-DAT-R.Acesso;IP;Muxflex
RFT001738;2 Mbps;0000-00-00;0000-00-00;Activo;IP;Funcheira;;G.703;650_1;1;6;IP;São Marcos;;G.703;650_1;1;3;IP-DAT-R.Acesso;IP;Rede de Acesso, alteração para RSC.
RFT001766;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;3.5.1;RT;Campanha;;G.703;PRCAMP_660_2;27p1;2.3.1;Ar Telecom;ReferTelecom;
RFT001765;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;3.4.3;RT;Campanha;;G.703;PRCAMP_660_2;27p1;2.2.3;Ar Telecom;ReferTelecom;
RFT001764;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;3.4.2;RT;Campanha;;G.703;PRCAMP_660_2;27p1;2.2.2;Ar Telecom;ReferTelecom;
RFT001763;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;3.4.1;RT;Campanha;;G.703;PRCAMP_660_2;27p1;2.2.1;Ar Telecom;ReferTelecom;
RFT001762;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;3.3.3;RT;Campanha;;G.703;PRCAMP_660_2;27p1;2.1.3;Ar Telecom;ReferTelecom;
RFT001760;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;3.3.1;RT;Campanha;;G.703;PRCAMP_660_2;27p1;2.1.1;Ar Telecom;ReferTelecom;
RFT001759;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;3.2.3;RT;Campanha;;G.703;PRCAMP_660_2;27p1;1.7.3;Ar Telecom;ReferTelecom;
RFT001758;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;3.2.2;RT;Campanha;;G.703;PRCAMP_660_2;27p1;1.7.2;Ar Telecom;ReferTelecom;
RFT001745;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;2.3.3;RT;Campanha;;G.703;PRCAMP_660_2;27p1;1.3.1;Ar Telecom;ReferTelecom;
RFT001744;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;2.3.2;RT;Campanha;;G.703;PRCAMP_660_2;27p1;1.2.3;Ar Telecom;ReferTelecom;
RFT001743;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;2.3.1;RT;Campanha;;G.703;PRCAMP_660_2;27p1;1.2.2;Ar Telecom;ReferTelecom;
RFT001739;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;1.6.2;RT;Campanha;;G.703;PRCAMP_660_2;27p1;1.1.1;Ar Telecom;ReferTelecom;
RFT001740;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;1.7.1;RT;Campanha;;G.703;PRCAMP_660_2;27p1;1.1.2;Ar Telecom;ReferTelecom;
RFT001741;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;1.7.2;RT;Campanha;;G.703;PRCAMP_660_2;27p1;1.1.3;Ar Telecom;ReferTelecom;
RFT001742;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;2.2.2;RT;Campanha;;G.703;PRCAMP_660_2;27p1;1.2.1;Ar Telecom;ReferTelecom;
RFT001757;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;3.2.1;RT;Campanha;;G.703;PRCAMP_660_2;27p1;1.7.1;Ar Telecom;ReferTelecom;
RFT001756;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;3.1.3;RT;Campanha;;G.703;PRCAMP_660_2;27p1;1.6.3;Ar Telecom;ReferTelecom;
RFT001755;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;3.1.2;RT;Campanha;;G.703;PRCAMP_660_2;27p1;1.6.2;Ar Telecom;ReferTelecom;
RFT001754;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;3.1.1;RT;Campanha;;G.703;PRCAMP_660_2;27p1;1.6.1;Ar Telecom;ReferTelecom;
RFT001753;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;2.7.3;RT;Campanha;;G.703;PRCAMP_660_2;27p1;1.5.3;Ar Telecom;ReferTelecom;
RFT001752;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;2.7.2;RT;Campanha;;G.703;PRCAMP_660_2;27p1;1.5.2;Ar Telecom;ReferTelecom;
RFT001751;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;2.7.1;RT;Campanha;;G.703;PRCAMP_660_2;27p1;1.5.1;Ar Telecom;ReferTelecom;
RFT001750;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;2.6.3;RT;Campanha;;G.703;PRCAMP_660_2;27p1;1.4.3;Ar Telecom;ReferTelecom;
RFT001749;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;2.5.3;RT;Campanha;;G.703;PRCAMP_660_2;27p1;1.4.2;Ar Telecom;ReferTelecom;
RFT001748;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;2.5.2;RT;Campanha;;G.703;PRCAMP_660_2;27p1;1.4.1;Ar Telecom;ReferTelecom;
RFT001747;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;2.5.1;RT;Campanha;;G.703;PRCAMP_660_2;27p1;1.3.3;Ar Telecom;ReferTelecom;
RFT001746;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;2.4.1;RT;Campanha;;G.703;PRCAMP_660_2;27p1;1.3.2;Ar Telecom;ReferTelecom;
RFT001767;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;3.5.2;RT;Campanha;;G.703;PRCAMP_660_2;27p1;2.3.2;Ar Telecom;ReferTelecom;
RFT001768;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;3.5.3;RT;Campanha;;G.703;PRCAMP_660_2;27p1;2.3.3;Ar Telecom;ReferTelecom;
RFT001769;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;3.6.1;RT;Campanha;;G.703;PRCAMP_660_2;27p1;2.4.1;Ar Telecom;ReferTelecom;
RFT001770;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;3.6.2;RT;Campanha;;G.703;PRCAMP_660_2;27p1;2.4.2;Ar Telecom;ReferTelecom;
RFT001771;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;3.6.3;RT;Campanha;;G.703;PRCAMP_660_2;27p1;2.4.3;Ar Telecom;ReferTelecom;
RFT001772;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcantara;;G.703;ALCMAR_660_1;30p2;3.7.1;RT;Campanha;;G.703;PRCAMP_660_2;27p1;2.5.1;Ar Telecom;ReferTelecom;
RFT001773;2 Mbps;2012-01-19;0000-00-00;Desligado;Ar Telecom;Alcantara;;G.703;AMADRA_660_1;27p1;3.7.2;RT;Campanha;;G.703;PRCAMP_660_2;27p1;2.5.2;Ar Telecom;ReferTelecom;
RFT001774;2 Mbps;2012-01-19;0000-00-00;Desligado;Ar Telecom;Alcantara;;G.703;AMADRA_660_1;27p1;3.7.3;RT;Campanha;;G.703;PRCAMP_660_2;27p1;2.5.3;Ar Telecom;ReferTelecom;
RFT001729;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcântara;;G.703;ALCMAR_660_1;27p1;1.1.3;RT;Campanhã;;G.703;PRCAMP_660_2;27p1;2.6.1;Ar Telecom;ReferTelecom;
RFT001775;2 Mbps;2012-01-19;2019-12-02;Desligado;Ar Telecom;Alcântara;;G.703;ALCMAR_660_1;30p2;2.4.3;RT;Campanhã;;G.703;PRCAMP_660_2;27p1;2.6.2;Ar Telecom;ReferTelecom;
